0.3121561178,-1.1878438822,0.1054680873|0.1678731400,1.7848932499,0.1546669479
0.1678731400,1.7848932499,0.1546669479|-0.9503789075,-2.9999938806,-0.0060594182

-4.0000000000,-0.9711345531,0.0281025005|0.2811791831,-1.2188208169,-0.1490458300
0.2811791831,-1.2188208169,-0.1490458300|0.1073340420,1.7860377790,-0.2733820610
0.1073340420,1.7860377790,-0.2733820610|-0.9742765158,-2.9995925139,-0.0494444192

-4.0000000000,-0.9638472252,0.0177747415|0.4111445402,-1.0888554598,-0.1130854004
0.4111445402,-1.0888554598,-0.1130854004|0.3302137554,1.7669355227,-0.1978047312
0.3302137554,1.7669355227,-0.1978047312|-0.9290411377,-2.9998760422,-0.0272714357

-4.0000000000,-0.9611724918,0.0107419350|0.5684217941,-0.9315782059,0.2677041053
0.5684217941,-0.9315782059,0.2677041053|0.5856011958,1.7203780966,0.4168699394
0.5856011958,1.7203780966,0.4168699394|-0.9401128170,-2.9999677726,-0.0139055072

-4.0000000000,-0.9597160419,-0.0004089992|0.7447228932,-0.7552771068,-0.3318184827
0.7447228932,-0.7552771068,-0.3318184827|0.8489606799,1.6639265182,-0.5007950577
0.8489606799,1.6639265182,-0.5007950577|-1.0378107000,-2.9990775822,0.0743885460

-4.0000000000,-0.9609769842,-0.0100084364|0.8023996193,-0.6976003807,0.1332007729
0.8023996193,-0.6976003807,0.1332007729|0.9319898835,1.6653438889,0.2036645841
0.9319898835,1.6653438889,0.2036645841|-1.0219735556,-2.9999159044,-0.0224625573

-4.0000000000,-0.9635342236,-0.0171234259|0.2687581422,-1.2312418578,0.1092430444
0.2687581422,-1.2312418578,0.1092430444|0.0792157167,1.7911253407,0.1987130641
0.0792157167,1.7911253407,0.1987130641|-0.9846913603,-2.9997906081,0.0354444274

-4.0000000000,-0.9678163699,-0.0242317667|0.3641210532,-1.1358789468,-0.1141940217
0.3641210532,-1.1358789468,-0.1141940217|0.2519762437,1.7762120902,-0.1742240422
0.2519762437,1.7762120902,-0.1742240422|-0.9396045452,-2.9999999998,0.0000342540

-4.0000000000,-0.9735811447,-0.0304139548|0.6223690920,-0.8776309080,0.1024580548
0.6223690920,-0.8776309080,0.1024580548|0.6762428104,1.7177166317,0.1770624485
0.6762428104,1.7177166317,0.1770624485|-0.9154060605,-2.9999508269,0.0171766202

-4.0000000000,-0.9796452581,-0.0347656302|0.8321291169,-0.6678708831,0.0694070294
0.8321291169,-0.6678708831,0.0694070294|0.9820787852,1.6561692457,0.1195094657
0.9820787852,1.6561692457,0.1195094657|-1.0328620197,-2.9999967181,0.0044374726

-4.0000000000,-0.9896658667,-0.0389380309|0.4878191922,-1.0121808078,-0.2990917000
0.4878191922,-1.0121808078,-0.2990917000|0.4740415138,1.7340724125,-0.4582888113
0.4740415138,1.7340724125,-0.4582888113|-0.9214584183,-2.9999294533,0.0205736598

-4.0000000000,-1.0004421007,-0.0402836085|0.2229819661,-1.2770180339,-0.2153528513
0.2229819661,-1.2770180339,-0.2153528513|0.0221705692,1.7891305571,-0.3424640529
0.0221705692,1.7891305571,-0.3424640529|-0.9811878648,-2.9999712723,-0.0131287949

-4.0000000000,-1.0107938033,-0.0388131212|0.5339830685,-0.9660169315,-0.0484428894
0.5339830685,-0.9660169315,-0.0484428894|0.5606984741,1.7391116687,-0.0541883368
